"동별(1)",동별(2),2019,2020,2021,2022
"동별(1)",동별(2),전체평균연령,전체평균연령,전체평균연령,전체평균연령
"합계",종로구,44.7,45.2,45.4,45.6
"합계",중구,45.0,45.6,45.8,46.1
"합계",용산구,43.9,44.3,44.3,44.4
"합계",성동구,42.4,43.0,43.4,43.8
"합계",광진구,41.9,42.4,42.9,43.3
"합계",동대문구,43.7,44.1,44.3,44.5
"합계",중랑구,44.2,44.8,45.3,45.7
"합계",성북구,42.8,43.3,43.7,44.0
"합계",강북구,45.4,46.2,46.7,47.3
"합계",도봉구,44.6,45.5,46.1,46.7
"합계",노원구,42.6,43.3,43.9,44.4
"합계",은평구,43.6,44.2,44.7,45.1
"합계",서대문구,43.4,43.6,43.9,44.1
"합계",마포구,41.6,42.0,42.2,42.6
"합계",양천구,41.6,42.2,42.8,43.4
"합계",강서구,42.0,42.6,43.1,43.5
"합계",구로구,43.0,43.7,44.2,44.6
"합계",금천구,43.9,44.5,44.8,45.2
"합계",영등포구,42.8,43.0,43.2,43.4
"합계",동작구,42.6,43.1,43.5,43.8
"합계",관악구,42.1,42.6,42.9,43.1
"합계",서초구,40.8,41.3,41.7,42.1
"합계",강남구,40.9,41.4,41.9,42.3
"합계",송파구,41.2,41.7,42.2,42.6
"합계",강동구,42.5,42.6,43.0,43.4
